utterance_id,language,intent,text
V000001,English,start_game,Start the memory game
V000002,English,start_game,Start the memory game
V000003,English,start_game,Start the memory game
V000004,English,start_game,Start the memory game
V000005,English,start_game,Start the memory game
V000006,English,start_game,Start the memory game
V000007,English,start_game,Start the memory game
V000008,English,start_game,Start the memory game
V000009,English,start_game,Start the memory game
V000010,English,start_game,Start the memory game
V000011,English,start_game,Start the memory game
V000012,English,start_game,Start the memory game
V000013,English,start_game,Start the memory game
V000014,English,start_game,Start the memory game
V000015,English,start_game,Start the memory game
V000016,English,start_game,Start the memory game
V000017,English,start_game,Start the memory game
V000018,English,start_game,Start the memory game
V000019,English,start_game,Start the memory game
V000020,English,start_game,Start the memory game
V000021,English,start_game,Start the memory game
V000022,English,start_game,Start the memory game
V000023,English,start_game,Start the memory game
V000024,English,start_game,Start the memory game
V000025,English,start_game,Start the memory game
V000026,English,start_game,Start the memory game
V000027,English,start_game,Start the memory game
V000028,English,start_game,Start the memory game
V000029,English,start_game,Start the memory game
V000030,English,start_game,Start the memory game
V000031,English,start_game,Start the memory game
V000032,English,start_game,Start the memory game
V000033,English,start_game,Start the memory game
V000034,English,start_game,Start the memory game
V000035,English,start_game,Start the memory game
V000036,English,start_game,Start the memory game
V000037,English,start_game,Start the memory game
V000038,English,start_game,Start the memory game
V000039,English,start_game,Start the memory game
V000040,English,start_game,Start the memory game
V000041,English,start_game,Start the memory game
V000042,English,start_game,Start the memory game
V000043,English,start_game,Start the memory game
V000044,English,start_game,Start the memory game
V000045,English,start_game,Start the memory game
V000046,English,start_game,Start the memory game
V000047,English,start_game,Start the memory game
V000048,English,start_game,Start the memory game
V000049,English,start_game,Start the memory game
V000050,English,start_game,Start the memory game
V000051,English,start_game,Start the memory game
V000052,English,start_game,Start the memory game
V000053,English,start_game,Start the memory game
V000054,English,start_game,Start the memory game
V000055,English,start_game,Start the memory game
V000056,English,start_game,Start the memory game
V000057,English,start_game,Start the memory game
V000058,English,start_game,Start the memory game
V000059,English,start_game,Start the memory game
V000060,English,start_game,Start the memory game
V000061,English,start_game,Start the memory game
V000062,English,start_game,Start the memory game
V000063,English,start_game,Start the memory game
V000064,English,start_game,Start the memory game
V000065,English,start_game,Start the memory game
V000066,English,start_game,Start the memory game
V000067,English,start_game,Start the memory game
V000068,English,start_game,Start the memory game
V000069,English,start_game,Start the memory game
V000070,English,start_game,Start the memory game
V000071,English,start_game,Start the memory game
V000072,English,start_game,Start the memory game
V000073,English,start_game,Start the memory game
V000074,English,start_game,Start the memory game
V000075,English,start_game,Start the memory game
V000076,English,start_game,Start the memory game
V000077,English,start_game,Start the memory game
V000078,English,start_game,Start the memory game
V000079,English,start_game,Start the memory game
V000080,English,start_game,Start the memory game
V000081,English,start_game,Start the memory game
V000082,English,start_game,Start the memory game
V000083,English,start_game,Start the memory game
V000084,English,start_game,Start the memory game
V000085,English,start_game,Start the memory game
V000086,English,start_game,Start the memory game
V000087,English,start_game,Start the memory game
V000088,English,start_game,Start the memory game
V000089,English,start_game,Start the memory game
V000090,English,start_game,Start the memory game
V000091,English,start_game,Start the memory game
V000092,English,start_game,Start the memory game
V000093,English,start_game,Start the memory game
V000094,English,start_game,Start the memory game
V000095,English,start_game,Start the memory game
V000096,English,start_game,Start the memory game
